,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
357,La Rioja,42.25,-2.5,71.01,43,64,20.8,ES,1603122903
358,Pisco,-13.7,-76.22,66.2,77,0,10.29,PE,1603122903
359,Bāndarban,22.2,92.23,86.0,79,20,1.74,BD,1603122903
360,Dunedin,-45.87,170.5,46.0,83,29,3.0,NZ,1603122903
361,Inírida,3.87,-67.92,86.67,74,81,1.19,CO,1603122904
362,Kaa-Khem,51.68,94.73,26.67,90,89,4.36,RU,1603122904
363,Atambua,-9.11,124.89,74.1,79,31,1.3,ID,1603122904
364,Perené,-10.95,-75.23,90.91,36,22,4.43,PE,1603122904
365,Santa Rosa,14.31,121.11,82.4,83,40,2.24,PH,1603122904
366,Husavik,66.04,-17.34,39.2,77,75,4.7,IS,1603122804
367,Aksarka,66.56,67.8,14.77,95,0,2.82,RU,1603122904
368,Sargatskoye,55.61,73.5,45.46,56,100,14.43,RU,1603122905
369,Gweru,-19.45,29.82,78.69,18,0,8.1,ZW,1603122905
370,Riyadh,24.69,46.72,84.2,14,0,9.17,SA,1603122887
371,Pangnirtung,66.15,-65.71,30.34,94,100,14.18,CA,1603122905
